Feature,RF_Importance,LR_Coefficient,LR_Abs_Coefficient
h_hist_7_mean,0.005713212786525461,-0.08998737379846775,0.08998737379846775
lbp_hist_6_min,0.005700039464814057,-0.6551924055050858,0.6551924055050858
h_std_std,0.005688218862883004,0.057710340486714085,0.057710340486714085
h_std_mean,0.005674084358761961,-0.4636076648197447,0.4636076648197447
s_hist_1_std,0.005659934278115763,-0.18738647062942196,0.18738647062942196
s_hist_0_std,0.0055888543876826775,0.6401183831168731,0.6401183831168731
v_hist_5_min,0.005582033947951745,0.14369314143490627,0.14369314143490627
s_hist_2_std,0.005572571741071671,0.1462368730528319,0.1462368730528319
v_hist_7_std,0.005474537343762946,-0.27529762746339825,0.27529762746339825
s_hist_4_std,0.00547423120056093,-0.5045709542167698,0.5045709542167698
v_hist_2_std,0.005380821751181967,0.008675349675268387,0.008675349675268387
glcm_correlation_mean,0.005301885766754397,-0.25010131595213275,0.25010131595213275
v_std_std,0.005247437296975367,-0.062151674088503354,0.062151674088503354
dct_high_low_ratio_std,0.005238141869486055,-0.20124958764990963,0.20124958764990963
v_hist_5_mean,0.005219814997478991,0.23140999940655738,0.23140999940655738
v_hist_6_std,0.005198417663846672,0.9494516679616043,0.9494516679616043
lbp_hist_9_max,0.00515109300040456,0.3096418398265783,0.3096418398265783
glcm_energy_std,0.0051259233281624175,-0.5328156912670174,0.5328156912670174
dct_mid_energy_std,0.005078642835210296,-0.36133814838425027,0.36133814838425027
glcm_homogeneity_std,0.005071724769487493,0.05210923103531933,0.05210923103531933
s_mean_std,0.004976903467252152,0.3081241651216509,0.3081241651216509
s_hist_5_mean,0.004957346024969451,-0.2253415707543183,0.2253415707543183
glcm_dissimilarity_std,0.0049234441974906635,0.811429320680263,0.811429320680263
h_mean_std,0.0049178526741181314,-0.4858682236967515,0.4858682236967515
dct_high_energy_max,0.004910799329671546,-0.1479484976948709,0.1479484976948709
lbp_hist_4_mean,0.004905425768562118,-0.1305381226933144,0.1305381226933144
s_hist_7_std,0.004900900723065476,-0.49286838867394817,0.49286838867394817
lbp_hist_7_min,0.004876255669001167,-0.2539530241563116,0.2539530241563116
lbp_hist_6_max,0.004863142098288659,-0.46909976901063133,0.46909976901063133
lbp_hist_1_max,0.0048287989187909,-0.47126637433680096,0.47126637433680096
s_hist_2_mean,0.00480800868390377,-0.4282778544706332,0.4282778544706332
glcm_contrast_std,0.0048034172835125614,-0.033621752853596136,0.033621752853596136
s_hist_3_max,0.004795210800528062,0.17370531663461272,0.17370531663461272
dct_mid_energy_mean,0.00479279329114733,-0.05598635815139699,0.05598635815139699
h_hist_4_mean,0.004789828519278136,0.009778493976118368,0.009778493976118368
dct_high_energy_std,0.0047878085285380486,-0.30147484451330625,0.30147484451330625
v_hist_3_max,0.004776857012246695,-0.1364169918075733,0.1364169918075733
h_mean_max,0.004744743222491734,0.19557886969372015,0.19557886969372015
glcm_correlation_min,0.004743816031344841,-0.09496878816413673,0.09496878816413673
s_hist_3_mean,0.004742638155061422,-0.32013118161162885,0.32013118161162885
dct_mid_energy_max,0.004699717810545045,-0.22828873984330578,0.22828873984330578
lbp_hist_1_min,0.0046928393102639064,0.062633372500021,0.062633372500021
lbp_hist_7_mean,0.00468502410861367,0.3613512451354621,0.3613512451354621
s_hist_6_std,0.004637599211617361,0.00017193164709088538,0.00017193164709088538
lbp_hist_6_mean,0.0046222251630420475,0.1907367147424221,0.1907367147424221
h_hist_6_mean,0.004603182407902629,-0.10244207768748917,0.10244207768748917
v_hist_5_max,0.004601472294700814,0.20243767735259213,0.20243767735259213
v_hist_6_mean,0.004586277092156777,0.23349360381129028,0.23349360381129028
s_hist_1_min,0.004585572521269417,-0.09647286280566975,0.09647286280566975
v_hist_3_mean,0.0045687866913052735,-0.10042314627318757,0.10042314627318757
s_hist_4_mean,0.004556639000696919,0.21176232916599327,0.21176232916599327
h_hist_0_max,0.004547213169939833,-0.08709474021099052,0.08709474021099052
h_hist_5_min,0.00454419485884131,-0.07187247945272497,0.07187247945272497
h_hist_5_std,0.004531814420982418,-0.03511119337031594,0.03511119337031594
s_hist_2_min,0.0045236385229919344,0.016499756331843134,0.016499756331843134
lbp_hist_9_min,0.004518699974472246,0.6201217697911333,0.6201217697911333
s_hist_0_min,0.004503421612546798,0.1435296352564579,0.1435296352564579
h_std_min,0.004498812443364871,0.04664886619999594,0.04664886619999594
h_hist_5_max,0.0044874547124371614,-0.0710893971519725,0.0710893971519725
s_hist_5_max,0.004463578644324394,-0.12818181296945472,0.12818181296945472
dct_high_low_ratio_mean,0.004456627056350364,0.08630381948330988,0.08630381948330988
s_hist_4_max,0.004455702452371927,-0.133690076682689,0.133690076682689
s_hist_2_max,0.004453160670480526,0.009845564769284366,0.009845564769284366
lbp_hist_9_mean,0.004440819059616021,0.4877723326733303,0.4877723326733303
h_hist_1_min,0.004431680771780341,0.19634963987900678,0.19634963987900678
h_hist_0_mean,0.00442553440435953,0.013546312151968406,0.013546312151968406
s_hist_0_mean,0.004391487715758865,-0.008740253160987444,0.008740253160987444
h_hist_4_min,0.004387187392951912,-0.0688134741106904,0.0688134741106904
v_hist_6_min,0.004382737211484551,-0.3582877147304197,0.3582877147304197
h_hist_5_mean,0.004381531436779282,0.07814901766280262,0.07814901766280262
h_hist_3_mean,0.004350270846667382,-0.019277570425155124,0.019277570425155124
v_hist_7_mean,0.004348413113787264,-0.11784084932849133,0.11784084932849133
dct_high_low_ratio_max,0.004335434222245767,0.028784000403199474,0.028784000403199474
v_hist_2_min,0.004332290213378793,0.42953362929858196,0.42953362929858196
lbp_hist_8_mean,0.004327993115322559,0.13880735112000828,0.13880735112000828
v_hist_4_max,0.004325298913973113,-0.0586191243706195,0.0586191243706195
h_hist_4_max,0.004279007989731148,-0.36968655027686825,0.36968655027686825
lbp_hist_0_min,0.004271744411344208,0.14075919695920114,0.14075919695920114
h_hist_3_max,0.004267394988832825,-0.24838370575502963,0.24838370575502963
v_hist_3_min,0.004246851689434747,0.10359654243643895,0.10359654243643895
lbp_hist_8_min,0.004211367695998747,-0.36542794799126377,0.36542794799126377
s_hist_6_min,0.004206886759271281,-0.4555450711924745,0.4555450711924745
lbp_hist_2_max,0.0042003283841516035,0.533276504627955,0.533276504627955
v_hist_1_max,0.004185797200541996,0.05445955927071722,0.05445955927071722
v_hist_4_min,0.00418283905522247,-0.02606712211501364,0.02606712211501364
lbp_hist_0_mean,0.004172208235354627,-0.38236607376577136,0.38236607376577136
s_hist_1_mean,0.0041703110116949865,0.10958691439445102,0.10958691439445102
h_hist_3_min,0.004170288702606265,0.14680874231368216,0.14680874231368216
lbp_hist_7_max,0.004130763958534785,0.06374431338373397,0.06374431338373397
glcm_energy_max,0.004126655447959122,-0.672244726540168,0.672244726540168
glcm_contrast_mean,0.004105314369073032,-0.08407420892554959,0.08407420892554959
s_hist_0_max,0.004090995042051304,0.05040911605574425,0.05040911605574425
v_hist_6_max,0.004082027548771058,-0.2610788510470973,0.2610788510470973
lbp_hist_5_mean,0.004076939332225955,-0.6039325528694524,0.6039325528694524
v_hist_4_mean,0.004068468217051539,-0.3079859781974946,0.3079859781974946
v_std_min,0.004061051065565904,0.21529971633638462,0.21529971633638462
lbp_hist_5_min,0.004006896964552863,0.7756018510087437,0.7756018510087437
gray_mean_std,0.004002757326551136,0.1839461629035071,0.1839461629035071
s_mean_min,0.003995563971297014,-0.08411722300410845,0.08411722300410845
lbp_hist_3_mean,0.00399299666177636,0.3515493263708046,0.3515493263708046
s_hist_4_min,0.003991673316047843,-0.05016063473886647,0.05016063473886647
glcm_homogeneity_mean,0.003986123233129655,0.258178713626171,0.258178713626171
v_hist_7_max,0.0039694423694151175,-0.338811789412732,0.338811789412732
glcm_energy_min,0.003969154405721394,0.20922508530809664,0.20922508530809664
s_hist_3_min,0.0039690377904776164,0.2386983164258365,0.2386983164258365
v_hist_0_max,0.003919062650098464,-0.15908075561527044,0.15908075561527044
lbp_hist_3_min,0.003918384845604028,-0.055937872226963024,0.055937872226963024
v_mean_min,0.003918346828839966,0.3632250717160105,0.3632250717160105
v_hist_2_mean,0.003915325495477189,-0.35809815520367844,0.35809815520367844
s_hist_7_min,0.0039044669191216253,-0.1650903711058328,0.1650903711058328
v_std_mean,0.0038560765871669166,0.07164788323279832,0.07164788323279832
s_hist_6_mean,0.0038524609944130856,0.20720057857183063,0.20720057857183063
edge_mean_max,0.0038160215743835886,0.16077888161255813,0.16077888161255813
h_mean_mean,0.003811288383263758,0.1917722582526204,0.1917722582526204
lbp_hist_4_max,0.0038093426974519207,0.22970489870263194,0.22970489870263194
s_mean_max,0.0037962595348867982,-0.12334889365158064,0.12334889365158064
lbp_hist_1_mean,0.003768173421312742,-0.08906634306150657,0.08906634306150657
glcm_contrast_min,0.0037563090761845454,-0.0647034552089923,0.0647034552089923
v_hist_1_min,0.003697326912549323,0.3168308446034095,0.3168308446034095
glcm_dissimilarity_max,0.0036864496164814567,0.2805661548289921,0.2805661548289921
h_hist_1_mean,0.0036844352913286108,0.08101295294641404,0.08101295294641404
v_mean_std,0.003678246117793709,-0.141858736148437,0.141858736148437
h_hist_2_min,0.0036781173433041332,-0.25686011837440104,0.25686011837440104
dct_low_energy_std,0.0036767021057851055,-0.037169295105357054,0.037169295105357054
gray_std_mean,0.0036669387870809592,0.07236317636098098,0.07236317636098098
lbp_hist_2_mean,0.003665821779859592,0.1264423325544549,0.1264423325544549
lbp_hist_8_max,0.00361761334882226,-0.20979290017367855,0.20979290017367855
s_hist_1_max,0.003611462241080755,-0.18694544124132648,0.18694544124132648
s_mean_mean,0.003608676836071574,0.23600126175651237,0.23600126175651237
h_hist_2_mean,0.0036035747109707805,-0.09115797278807362,0.09115797278807362
s_hist_7_max,0.0036015689384650013,-0.3009358248489066,0.3009358248489066
dct_high_energy_min,0.0035891490990247873,-0.05742494783477298,0.05742494783477298
v_hist_2_max,0.0035667910442341625,0.3288054655979554,0.3288054655979554
edge_density_mean,0.0035569496505097687,-0.17560486806036715,0.17560486806036715
v_mean_mean,0.0035569232273476303,0.07188751064785293,0.07188751064785293
lbp_hist_0_max,0.0035326254198495667,-0.21523989109648545,0.21523989109648545
glcm_dissimilarity_min,0.0035280091232426205,0.022810525622429266,0.022810525622429266
h_hist_0_min,0.003516994359649234,0.21004483700818288,0.21004483700818288
v_hist_0_min,0.0034921280716547387,0.47346350057808095,0.47346350057808095
glcm_homogeneity_max,0.0034799489118777305,-0.03606282463905933,0.03606282463905933
h_mean_min,0.003478110868233409,0.44159085034449885,0.44159085034449885
gray_mean_max,0.0034597240308912136,-0.045050823346841795,0.045050823346841795
edge_mean_mean,0.0034124394519254317,-0.17560486806036196,0.17560486806036196
v_std_max,0.0034118816852928145,0.04899861158545338,0.04899861158545338
h_std_max,0.003409151072627677,0.22731073491594997,0.22731073491594997
s_std_mean,0.003399760264676685,0.33872918669029733,0.33872918669029733
v_hist_7_min,0.003388683602968848,0.12435170601691456,0.12435170601691456
gray_std_max,0.003341146261660116,-0.10426293194774332,0.10426293194774332
dct_low_energy_mean,0.0033032988066602075,0.15840387815942888,0.15840387815942888
edge_std_max,0.0032629307978440424,-0.0838119279128443,0.0838119279128443
gray_mean_mean,0.0032606859931145135,0.07285667093988801,0.07285667093988801
s_hist_5_min,0.0032566906343947585,-0.23024116571849065,0.23024116571849065
v_mean_max,0.0032373529470204132,-0.11518954743818971,0.11518954743818971
s_std_max,0.003208565847231074,0.2905743208152067,0.2905743208152067
dct_high_low_ratio_min,0.0032055732788593364,0.39061305936355495,0.39061305936355495
gray_mean_min,0.003204548393170773,0.3426846097457689,0.3426846097457689
v_hist_1_mean,0.0031932638082568347,0.009385590652205032,0.009385590652205032
dct_mid_energy_min,0.0031852811733436917,-0.1651378559920428,0.1651378559920428
glcm_energy_mean,0.0031722052098419047,0.36336482691123645,0.36336482691123645
s_std_min,0.0031426108490953835,-0.0733150598943983,0.0733150598943983
s_hist_6_max,0.003091066985755338,-0.0967815222268696,0.0967815222268696
gray_std_min,0.0030838717923370464,-0.03378737684755692,0.03378737684755692
glcm_homogeneity_min,0.0030230651575593338,0.13642495502848678,0.13642495502848678
dct_high_energy_mean,0.003020213018131808,-0.13503117825830657,0.13503117825830657
edge_std_min,0.0029597702416786663,0.16851781254709608,0.16851781254709608
lbp_hist_2_min,0.0029179960513823064,-0.194831232190865,0.194831232190865
v_hist_0_mean,0.002844977425073445,0.28914667824113693,0.28914667824113693
edge_std_mean,0.0028424182527087625,-0.4642350568242067,0.4642350568242067
dct_low_energy_min,0.002731582724105381,0.27479478103938487,0.27479478103938487
edge_density_max,0.0027080753135929813,0.16077888161255763,0.16077888161255763
s_hist_7_mean,0.0026717479389388255,0.2581953190790209,0.2581953190790209
dct_low_energy_max,0.0026249734555639998,-0.042541229638089276,0.042541229638089276
edge_density_min,0.002585579517252028,-0.0010418654849668535,0.0010418654849668535
edge_mean_min,0.0025794908197937913,-0.001041865484966487,0.001041865484966487
glcm_contrast_max,0.002472789565018912,-0.11558337468453392,0.11558337468453392
glcm_dissimilarity_mean,0.0023214095070258132,0.02981664600702866,0.02981664600702866
