feature,feature_family,mean_abs_shap,mean_shap,direction
lbp_hist_2_min,Texture (LBP & Gray),0.118743,0.073638,Pushes FAKE
v_hist_1_std,Color (HSV),0.114878,0.065271,Pushes FAKE
s_mean_max,Color (HSV),0.114434,0.015207,Pushes FAKE
lbp_hist_8_mean,Texture (LBP & Gray),0.114062,-0.068724,Pushes REAL
v_hist_3_max,Color (HSV),0.113121,-0.016595,Pushes REAL
s_hist_4_max,Color (HSV),0.107846,0.028771,Pushes FAKE
h_hist_3_min,Color (HSV),0.106523,0.002036,Pushes FAKE
h_hist_2_max,Color (HSV),0.105356,-0.005376,Pushes REAL
dct_high_energy_max,Frequency (DCT),0.103765,0.032835,Pushes FAKE
s_hist_7_min,Color (HSV),0.102941,0.060186,Pushes FAKE
glcm_homogeneity_min,Texture (GLCM),0.102231,0.007059,Pushes FAKE
h_hist_7_mean,Color (HSV),0.098771,-0.026811,Pushes REAL
v_hist_0_std,Color (HSV),0.098009,-0.012806,Pushes REAL
dct_low_energy_mean,Frequency (DCT),0.09403,0.013673,Pushes FAKE
v_hist_3_min,Color (HSV),0.093092,0.02303,Pushes FAKE
v_mean_std,Color (HSV),0.093072,-0.040398,Pushes REAL
s_hist_6_max,Color (HSV),0.092313,-0.004729,Pushes REAL
glcm_contrast_max,Texture (GLCM),0.091531,0.02847,Pushes FAKE
v_hist_3_mean,Color (HSV),0.089942,-0.01815,Pushes REAL
s_hist_1_mean,Color (HSV),0.089779,-0.00096,Pushes REAL
lbp_hist_0_min,Texture (LBP & Gray),0.089643,-0.070691,Pushes REAL
v_hist_7_std,Color (HSV),0.088504,0.014428,Pushes FAKE
dct_high_energy_mean,Frequency (DCT),0.08805,0.045546,Pushes FAKE
h_hist_6_mean,Color (HSV),0.087254,-0.03015,Pushes REAL
h_hist_0_max,Color (HSV),0.084457,-0.000816,Pushes REAL
edge_std_max,Edge (Canny),0.082793,0.035546,Pushes FAKE
h_hist_3_std,Color (HSV),0.082346,-0.027319,Pushes REAL
gray_std_max,Texture (LBP & Gray),0.081906,0.047138,Pushes FAKE
s_mean_min,Color (HSV),0.080762,0.009554,Pushes FAKE
v_mean_max,Color (HSV),0.08068,-0.033917,Pushes REAL
s_hist_3_std,Color (HSV),0.076724,0.03693,Pushes FAKE
lbp_hist_2_mean,Texture (LBP & Gray),0.075959,-0.043594,Pushes REAL
s_hist_1_min,Color (HSV),0.07439,0.002942,Pushes FAKE
h_hist_1_mean,Color (HSV),0.071758,0.003603,Pushes FAKE
s_std_min,Color (HSV),0.070267,0.047773,Pushes FAKE
glcm_contrast_mean,Texture (GLCM),0.065403,0.028002,Pushes FAKE
v_hist_7_min,Color (HSV),0.065321,-0.053263,Pushes REAL
h_hist_5_mean,Color (HSV),0.06531,-0.002528,Pushes REAL
dct_mid_energy_mean,Frequency (DCT),0.060947,0.015474,Pushes FAKE
lbp_hist_1_mean,Texture (LBP & Gray),0.060451,0.028551,Pushes FAKE
v_hist_4_max,Color (HSV),0.059693,-0.031814,Pushes REAL
s_hist_2_std,Color (HSV),0.058885,0.024875,Pushes FAKE
glcm_correlation_min,Texture (GLCM),0.058878,-0.000846,Pushes REAL
h_hist_5_max,Color (HSV),0.05857,-0.001574,Pushes REAL
gray_std_mean,Texture (LBP & Gray),0.0585,-0.035761,Pushes REAL
h_hist_5_min,Color (HSV),0.057295,0.004648,Pushes FAKE
v_hist_7_mean,Color (HSV),0.056932,0.048802,Pushes FAKE
h_hist_4_min,Color (HSV),0.056229,0.020549,Pushes FAKE
v_std_mean,Color (HSV),0.055144,-0.044458,Pushes REAL
gray_mean_mean,Texture (LBP & Gray),0.053369,0.018479,Pushes FAKE
v_mean_mean,Color (HSV),0.050336,0.015739,Pushes FAKE
lbp_hist_7_max,Texture (LBP & Gray),0.050065,-0.003993,Pushes REAL
h_hist_6_min,Color (HSV),0.050019,0.014432,Pushes FAKE
h_hist_2_mean,Color (HSV),0.049772,-0.000326,Pushes REAL
dct_high_low_ratio_mean,Frequency (DCT),0.04824,-0.034014,Pushes REAL
s_hist_0_max,Color (HSV),0.047941,0.001067,Pushes FAKE
v_hist_1_max,Color (HSV),0.047536,0.000597,Pushes FAKE
glcm_contrast_min,Texture (GLCM),0.045735,0.027567,Pushes FAKE
